Epoch	ERROR1	TIME	
00000695	12.467067	26:15:07:49
00000696	12.447288	26:15:07:49
00000697	12.427528	26:15:07:49
00000698	12.407787	26:15:07:49
00000699	12.388064	26:15:07:49
00000700	12.368361	26:15:07:49
00000701	12.348684	26:15:07:49
00000702	12.329070	26:15:07:49
00000703	12.309474	26:15:07:49
00000704	12.290010	26:15:07:49
00000705	12.270577	26:15:07:49
00000706	12.251161	26:15:07:49
00000707	12.231763	26:15:07:49
00000708	12.212382	26:15:07:49
00000709	12.193019	26:15:07:49
00000710	12.173673	26:15:07:49
00000711	12.154351	26:15:07:49
00000712	12.135105	26:15:07:49
00000713	12.115944	26:15:07:49
00000714	12.096800	26:15:07:49
00000715	12.077692	26:15:07:49
00000716	12.058685	26:15:07:49
00000717	12.039844	26:15:07:49
00000718	12.021025	26:15:07:49
00000719	12.002221	26:15:07:49
00000720	11.983430	26:15:07:49
00000721	11.964654	26:15:07:49
00000722	11.945911	26:15:07:49
00000723	11.927248	26:15:07:49
00000724	11.908599	26:15:07:49
00000725	11.889963	26:15:07:49
00000726	11.871347	26:15:07:49
00000727	11.852850	26:15:07:49
00000728	11.834365	26:15:07:49
00000729	11.815894	26:15:07:49
00000730	11.797435	26:15:07:49
00000731	11.779012	26:15:07:49
00000732	11.760613	26:15:07:49
00000733	11.742227	26:15:07:49
00000734	11.723853	26:15:07:49
00000735	11.705493	26:15:07:49
00000736	11.687146	26:15:07:49
00000737	11.668812	26:15:07:49
00000738	11.650555	26:15:07:49
00000739	11.632321	26:15:07:49
00000740	11.614099	26:15:07:49
00000741	11.595891	26:15:07:49
00000742	11.577695	26:15:07:49
00000743	11.559513	26:15:07:49
00000744	11.541344	26:15:07:49
00000745	11.523188	26:15:07:49
00000746	11.505046	26:15:07:49
00000747	11.486918	26:15:07:49
00000748	11.468839	26:15:07:49
00000749	11.450820	26:15:07:49
00000750	11.432815	26:15:07:49
00000751	11.414845	26:15:07:49
00000752	11.396981	26:15:07:49
00000753	11.379184	26:15:07:49
00000754	11.361399	26:15:07:49
00000755	11.343625	26:15:07:49
00000756	11.325923	26:15:07:49
00000757	11.308248	26:15:07:49
00000758	11.290584	26:15:07:49
00000759	11.272931	26:15:07:49
00000760	11.255289	26:15:07:49
00000761	11.237659	26:15:07:49
00000762	11.220040	26:15:07:49
00000763	11.202504	26:15:07:49
00000764	11.185016	26:15:07:49
00000765	11.167607	26:15:07:49
